,run,run,epoch1_pearson,epoch1_pearson,epoch1_accuracy,epoch1_accuracy,epoch1_combine,epoch1_combine,epoch2_pearson,epoch2_pearson,epoch2_accuracy,epoch2_accuracy,epoch2_combine,epoch2_combine,epoch3_pearson,epoch3_pearson,epoch3_accuracy,epoch3_accuracy,epoch3_combine,epoch3_combine,test_pearson,test_pearson,test_accuracy,test_accuracy,test_combine,test_combine
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
script,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,5.5,3.0277,0.8381,0.0094,0.7998,0.0423,0.819,0.0232,0.8634,0.005,0.847,0.0089,0.8552,0.0058,0.8674,0.007,0.8522,0.0104,0.8598,0.0081,0.8758,0.0042,0.8663,0.0046,0.871,0.0042
0,5.5,3.0277,0.8417,0.0096,0.7894,0.0475,0.8155,0.0257,0.8617,0.0058,0.8512,0.0088,0.8565,0.0061,0.8681,0.0046,0.854,0.0126,0.8611,0.0065,0.8773,0.0037,0.8692,0.0042,0.8732,0.0034
1,5.5,3.0277,0.8377,0.0112,0.7954,0.0307,0.8166,0.0154,0.8618,0.0075,0.8552,0.0075,0.8585,0.0061,0.8641,0.0046,0.849,0.0086,0.8565,0.0063,0.8752,0.0047,0.8681,0.0026,0.8716,0.0026
2,5.5,3.0277,0.8374,0.0068,0.7904,0.0324,0.8139,0.0179,0.8637,0.0063,0.8472,0.0071,0.8554,0.0049,0.8662,0.0037,0.8488,0.0099,0.8575,0.0057,0.8769,0.0023,0.8666,0.0054,0.8717,0.0033
3,5.5,3.0277,0.8364,0.0102,0.773,0.042,0.8047,0.0226,0.8598,0.0082,0.8486,0.0098,0.8542,0.0063,0.8652,0.0072,0.8564,0.0084,0.8608,0.0034,0.8774,0.005,0.8639,0.004,0.8707,0.0028
4,5.5,3.0277,0.8316,0.0088,0.7716,0.0462,0.8016,0.0238,0.8601,0.005,0.8396,0.0083,0.8498,0.0054,0.8659,0.0067,0.8502,0.0064,0.858,0.0055,0.8767,0.0046,0.8584,0.0063,0.8676,0.005
5,5.5,3.0277,0.8324,0.0071,0.7218,0.0529,0.7771,0.0265,0.8611,0.0068,0.8384,0.0099,0.8498,0.008,0.8648,0.0072,0.8504,0.0106,0.8576,0.0072,0.8737,0.0035,0.8569,0.0067,0.8653,0.0042
6,5.5,3.0277,0.828,0.0068,0.679,0.0331,0.7535,0.0152,0.857,0.007,0.83,0.0139,0.8435,0.0087,0.8649,0.0047,0.844,0.0097,0.8544,0.0048,0.8729,0.0061,0.8497,0.007,0.8613,0.0058
7,5.5,3.0277,0.8148,0.0099,0.6398,0.0409,0.7273,0.0209,0.8542,0.0077,0.8294,0.0082,0.8418,0.0064,0.8663,0.0058,0.8396,0.0115,0.853,0.0077,0.8739,0.0049,0.843,0.0075,0.8584,0.0061
8,5.5,3.0277,0.8025,0.0082,0.602,0.0415,0.7022,0.0198,0.8497,0.0052,0.8146,0.0086,0.8322,0.0038,0.8636,0.0059,0.8366,0.0085,0.8501,0.0058,0.8684,0.0041,0.8358,0.0085,0.8521,0.006
9,5.5,3.0277,0.7841,0.0072,0.5666,0.0064,0.6753,0.006,0.8381,0.0067,0.8006,0.0106,0.8194,0.0073,0.8554,0.002,0.8278,0.0094,0.8416,0.0052,0.8606,0.0034,0.8186,0.0064,0.8396,0.0043
10,5.5,3.0277,0.7623,0.0069,0.564,0.0,0.6631,0.0034,0.8103,0.0071,0.6778,0.0144,0.7441,0.0076,0.8376,0.0057,0.7984,0.0148,0.818,0.0091,0.8404,0.0036,0.7978,0.014,0.8191,0.0078
11,5.5,3.0277,0.7355,0.0247,0.564,0.0,0.6497,0.0123,0.7859,0.0094,0.5768,0.0158,0.6814,0.01,0.8104,0.0062,0.6776,0.0215,0.744,0.0124,0.8196,0.0044,0.673,0.0193,0.7463,0.0106
